var;less_than_des;dec;uni
"male";.4039716;-.1072134;-.5221504
"mother";.3372866;.1848344;-1.052651
"father";-.5365798;-.3833108;-.647814
"age18";-3.938152;2.315454;1.483799
"age19";-3.254623;2.81441;2.636857
"age20";-19.32511;2.922755;3.906556
"age21";-18.65955;3.359907;5.57505
"age22";-18.32638;3.183865;6.551539
"age23";-18.48812;2.706624;6.89432
"age24";-18.54118;2.629907;6.980491
"age25";-18.82648;2.372037;6.526618
"age26";-18.67132;2.620933;6.741036
"age27";-18.44644;2.958235;6.707585
"age28";-18.39095;3.076761;6.867561
"age29";-18.71333;2.393004;6.88354
"age30";-19.02018;2.093627;6.31917
"age31";-18.85883;2.242307;6.711731
"age32";-18.52181;2.711502;6.964477
"age33";-18.25486;3.18094;7.178352
"age34";-1.554382;2.725573;6.28774
"age35";-2.33556;2.306063;6.44224
"constant";-.1769975;-1.546527;-4.471717
